"","checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","personal_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","class"
"1","<0",6,"critical/order existing credit","radio/tv",1169,"no known savings",">=7",4,"male single","none",4,"real estate",67,"stores","own",2,"skilled",1,"1","1","good"
"2","0<=X<200",48,"existing paid","radio/tv",5951,"<100","1<=X<4",2,"female div/dep/mar","none",2,"real estate",22,"stores","own",1,"skilled",1,"0","1","bad"
"3","no checking",12,"critical/order existing credit","education",2096,"<100","4<=X<7",2,"male single","none",3,"real estate",49,"stores","own",1,"unskilled resident",2,"0","1","good"
"4","<0",42,"existing paid","furniture/equipment",7882,"<100","4<=X<7",2,"male single","guarantor",4,"life insurance",45,"stores","for free",1,"skilled",2,"0","1","good"
"5","<0",24,"delayed previously","new car",4870,"<100","1<=X<4",3,"male single","none",4,"no known property",53,"stores","for free",2,"skilled",2,"0","1","bad"
"6","no checking",36,"existing paid","education",9055,"no known savings","1<=X<4",2,"male single","none",4,"no known property",35,"stores","for free",1,"unskilled resident",2,"1","1","good"
"7","no checking",24,"existing paid","furniture/equipment",2835,"500<=X<1000",">=7",3,"male single","none",4,"life insurance",53,"stores","own",1,"skilled",1,"0","1","good"
"8","0<=X<200",36,"existing paid","used car",6948,"<100","1<=X<4",2,"male single","none",2,"car",35,"stores","rent",1,"high qualif/self emp/mgmt",1,"1","1","good"
"9","no checking",12,"existing paid","radio/tv",3059,">=1000","4<=X<7",2,"male div/sep","none",4,"real estate",61,"stores","own",1,"unskilled resident",1,"0","1","good"
"10","0<=X<200",30,"critical/order existing credit","new car",5234,"<100","unemployed",4,"male mar/wid","none",2,"car",28,"stores","own",2,"high qualif/self emp/mgmt",1,"0","1","bad"
"11","0<=X<200",12,"existing paid","new car",1295,"<100","<1",3,"female div/dep/mar","none",1,"car",25,"stores","rent",1,"skilled",1,"0","1","bad"
"12","<0",48,"existing paid","business",4308,"<100","<1",3,"female div/dep/mar","none",4,"life insurance",24,"stores","rent",1,"skilled",1,"0","1","bad"
"13","0<=X<200",12,"existing paid","radio/tv",1567,"<100","1<=X<4",1,"female div/dep/mar","none",1,"car",22,"stores","own",1,"skilled",1,"1","1","good"
"14","<0",24,"critical/order existing credit","new car",1199,"<100",">=7",4,"male single","none",4,"car",60,"stores","own",2,"unskilled resident",1,"0","1","bad"
"15","<0",15,"existing paid","new car",1403,"<100","1<=X<4",2,"female div/dep/mar","none",4,"car",28,"stores","rent",1,"skilled",1,"0","1","good"
"16","<0",24,"existing paid","radio/tv",1282,"100<=X<500","1<=X<4",4,"female div/dep/mar","none",2,"car",32,"stores","own",1,"unskilled resident",1,"0","1","bad"
"17","no checking",24,"critical/order existing credit","radio/tv",2424,"no known savings",">=7",4,"male single","none",4,"life insurance",52,"stores","own",2,"skilled",1,"0","1","good"
"18","<0",30,"no credits/all paid","business",8072,"no known savings","<1",2,"male single","none",3,"car",25,"bank","own",3,"skilled",1,"0","1","good"
"19","0<=X<200",24,"existing paid","used car",12579,"<100",">=7",4,"female div/dep/mar","none",2,"no known property",44,"stores","for free",1,"high qualif/self emp/mgmt",1,"1","1","bad"
"20","no checking",24,"existing paid","radio/tv",3430,"500<=X<1000",">=7",3,"male single","none",2,"car",31,"stores","own",1,"skilled",2,"1","1","good"
"21","no checking",9,"critical/order existing credit","new car",2134,"<100","1<=X<4",4,"male single","none",4,"car",48,"stores","own",3,"skilled",1,"1","1","good"
"22","<0",6,"existing paid","radio/tv",2647,"500<=X<1000","1<=X<4",2,"male single","none",3,"real estate",44,"stores","rent",1,"skilled",2,"0","1","good"
"23","<0",10,"critical/order existing credit","new car",2241,"<100","<1",1,"male single","none",3,"real estate",48,"stores","rent",2,"unskilled resident",2,"0","0","good"
"24","0<=X<200",12,"critical/order existing credit","used car",1804,"100<=X<500","<1",3,"male single","none",4,"life insurance",44,"stores","own",1,"skilled",1,"0","1","good"
"25","no checking",10,"critical/order existing credit","furniture/equipment",2069,"no known savings","1<=X<4",2,"male mar/wid","none",1,"car",26,"stores","own",2,"skilled",1,"0","0","good"
"26","<0",6,"existing paid","furniture/equipment",1374,"<100","1<=X<4",1,"male single","none",2,"real estate",36,"bank","own",1,"unskilled resident",1,"1","1","good"
"27","no checking",6,"no credits/all paid","radio/tv",426,"<100",">=7",4,"male mar/wid","none",4,"car",39,"stores","own",1,"unskilled resident",1,"0","1","good"
"28",">=200",13,"all paid","radio/tv",409,">=1000","1<=X<4",3,"female div/dep/mar","none",3,"real estate",42,"stores","rent",2,"skilled",1,"0","1","good"
"29","0<=X<200",7,"existing paid","radio/tv",2415,"<100","1<=X<4",3,"male single","guarantor",2,"real estate",34,"stores","own",1,"skilled",1,"0","1","good"
"30","<0",60,"delayed previously","business",6836,"<100",">=7",3.01,"male single","none",4,"no known property",63,"stores","own",2,"skilled",1,"1","1","bad"
"31","0<=X<200",18,"existing paid","business",1913,">=1000","<1",3,"male mar/wid","none",3,"real estate",36,"bank","own",1,"skilled",1,"1","1","good"
"32","<0",24,"existing paid","furniture/equipment",4020,"<100","1<=X<4",2,"male single","none",2,"car",27,"stores","own",1,"skilled",1,"0","1","good"
"33","0<=X<200",18,"existing paid","new car",5866,"100<=X<500","1<=X<4",2.69,"male single","none",2,"car",30,"stores","own",2,"skilled",1,"1","1","good"
"34","no checking",12,"critical/order existing credit","business",1264,"no known savings",">=7",4,"male single","none",4,"no known property",57,"stores","rent",1,"unskilled resident",1,"0","1","good"
"35",">=200",12,"existing paid","furniture/equipment",1474,"<100","<1",4,"female div/dep/mar","none",1,"life insurance",33,"bank","own",1,"high qualif/self emp/mgmt",1,"1","1","good"
"36","0<=X<200",45,"critical/order existing credit","radio/tv",4746,"<100","<1",4,"male single","none",2,"life insurance",25,"stores","own",2,"unskilled resident",1,"0","1","bad"
"37","no checking",48,"critical/order existing credit","education",6110,"<100","1<=X<4",1,"male single","none",3,"no known property",31,"bank","for free",1,"skilled",1,"1","1","good"
"38",">=200",18,"existing paid","radio/tv",2100,"<100","1<=X<4",4,"male single","co applicant",2,"real estate",37,"stores","own",1,"skilled",1,"0","1","bad"
"39",">=200",10,"existing paid","domestic appliance",1225,"<100","1<=X<4",2,"male single","none",2,"car",37,"stores","own",1,"skilled",1,"1","1","good"
"40","0<=X<200",9,"existing paid","radio/tv",458,"<100","1<=X<4",4,"male single","none",3,"real estate",24,"stores","own",1,"skilled",1,"0","1","good"
"41","no checking",30,"existing paid","radio/tv",2333,"500<=X<1000",">=7",4,"male single","none",2,"car",30,"bank","own",1,"high qualif/self emp/mgmt",1,"0","1","good"
"42","0<=X<200",12,"existing paid","radio/tv",1158,"500<=X<1000","1<=X<4",3,"male div/sep","none",1,"car",26,"stores","own",1,"skilled",1,"1","1","good"
"43","0<=X<200",18,"delayed previously","repairs",5738.21,"<100","1<=X<4",2,"male single","none",4,"real estate",44,"stores","own",1,"unskilled resident",2,"1","1","good"
"44","<0",30,"critical/order existing credit","used car",6159.92,"100<=X<500","4<=X<7",1,"male mar/wid","none",4,"car",24,"stores","rent",2,"skilled",1,"0","1","good"
"45","<0",48,"critical/order existing credit","used car",6143,"<100",">=7",4,"female div/dep/mar","none",4,"no known property",58,"stores","for free",2,"unskilled resident",1,"0","1","bad"
"46","no checking",11,"critical/order existing credit","new car",1393,"<100","<1",4,"female div/dep/mar","none",4,"car",35,"stores","own",2,"high qualif/self emp/mgmt",1,"0","1","good"
"47","no checking",36,"existing paid","radio/tv",2299,"500<=X<1000",">=7",4,"male single","none",4,"car",39,"stores","own",1,"skilled",1,"0","1","good"
"48","<0",6,"existing paid","used car",1352,"500<=X<1000","unemployed",1,"female div/dep/mar","none",2,"life insurance",23,"stores","rent",1,"unemp/unskilled non res",1,"1","1","good"
"49","no checking",11,"critical/order existing credit","new car",7228,"<100","1<=X<4",1,"male single","none",4,"life insurance",39,"stores","own",2,"unskilled resident",1,"0","1","good"
"50","no checking",12,"existing paid","radio/tv",2073,"100<=X<500","1<=X<4",4,"female div/dep/mar","co applicant",2,"real estate",28,"stores","own",1,"skilled",1,"0","1","good"
"51","0<=X<200",24,"delayed previously","furniture/equipment",2333,"no known savings","<1",4,"male single","none",2,"life insurance",29,"bank","own",1,"unskilled resident",1,"0","1","good"
"52","0<=X<200",27,"delayed previously","used car",5965,"<100",">=7",1,"male single","none",2,"car",30,"stores","own",2,"high qualif/self emp/mgmt",1,"1","1","good"
"53","no checking",12,"existing paid","radio/tv",1262,"<100","1<=X<4",3,"male single","none",2,"car",25,"stores","own",1,"skilled",1,"0","1","good"
"54","no checking",18,"existing paid","used car",3378,"no known savings","1<=X<4",2,"male single","none",1,"life insurance",31,"stores","own",1,"skilled",1,"1","1","good"
"55","0<=X<200",36,"delayed previously","new car",2225,"<100",">=7",4,"male single","none",4,"no known property",57,"bank","for free",2,"skilled",1,"1","1","bad"
"56","no checking",6,"all paid","new car",783,"no known savings","1<=X<4",1,"male single","guarantor",2,"real estate",26,"stores","own",1,"unskilled resident",2,"0","1","good"
"57","0<=X<200",12,"existing paid","radio/tv",6468,"no known savings","unemployed",2,"male single","none",1,"no known property",52,"stores","own",1,"high qualif/self emp/mgmt",1,"1","1","bad"
"58","no checking",36,"critical/order existing credit","radio/tv",9566,"<100","1<=X<4",2,"female div/dep/mar","none",2,"car",31,"stores","own",2,"skilled",1,"0","1","good"
"59",">=200",18,"existing paid","new car",1961,"<100",">=7",3,"female div/dep/mar","none",2,"car",23,"stores","own",1,"high qualif/self emp/mgmt",1,"0","1","good"
"60","<0",36,"critical/order existing credit","furniture/equipment",6229,"<100","<1",4,"female div/dep/mar","co applicant",4,"no known property",23,"stores","rent",2,"unskilled resident",1,"1","1","bad"
"61","0<=X<200",9,"existing paid","business",1391,"<100","1<=X<4",2,"male mar/wid","none",1,"real estate",27,"bank","own",1,"skilled",1,"1","1","good"
"62","0<=X<200",15,"critical/order existing credit","radio/tv",1537,"no known savings",">=7",4,"male single","guarantor",4,"real estate",50,"stores","own",2,"skilled",1,"1","1","good"
"63","0<=X<200",36,"no credits/all paid","business",1953,"<100",">=7",4,"male single","none",4,"no known property",61,"stores","for free",1,"high qualif/self emp/mgmt",1,"1","1","bad"
"64","0<=X<200",48,"no credits/all paid","business",14421,"<100","1<=X<4",2,"male single","none",2,"car",25,"stores","own",1,"skilled",1,"1","1","bad"
"65","no checking",24,"existing paid","radio/tv",3181,"<100","<1",4,"female div/dep/mar","none",4,"life insurance",26,"stores","own",1,"skilled",1,"1","1","good"
"66","no checking",27,"existing paid","repairs",5190,"no known savings",">=7",4,"male single","none",4,"life insurance",48,"stores","own",4,"skilled",2,"1","1","good"
"67","no checking",12,"existing paid","radio/tv",2171,"<100","<1",2,"female div/dep/mar","none",2,"car",29,"bank","own",1,"skilled",1,"0","1","good"
"68","0<=X<200",12,"existing paid","radio/tv",1007,">=1000","1<=X<4",4,"male mar/wid","none",1,"real estate",22,"stores","own",1,"skilled",1,"0","1","good"
"69","no checking",36,"existing paid","education",1819,"<100","1<=X<4",4,"male single","none",4,"no known property",37,"stores","for free",1,"skilled",1,"1","1","bad"
"70","no checking",36,"existing paid","radio/tv",2394,"no known savings","1<=X<4",4,"female div/dep/mar","none",4,"car",25,"stores","own",1,"skilled",1,"0","1","good"
"71","no checking",36,"existing paid","used car",8133,"<100","1<=X<4",1,"female div/dep/mar","none",2,"life insurance",30,"bank","own",1,"skilled",1,"0","1","good"
"72","no checking",7,"critical/order existing credit","radio/tv",730,"no known savings",">=7",3.97,"male single","none",2,"life insurance",46,"stores","rent",2,"unskilled resident",1,"1","1","good"
"73","<0",8,"critical/order existing credit","other",1164,"<100",">=7",3,"male single","none",4,"no known property",51,"bank","for free",2,"high qualif/self emp/mgmt",2,"1","1","good"
"74","0<=X<200",42,"critical/order existing credit","business",5954,"<100","4<=X<7",2,"female div/dep/mar","none",1,"real estate",41,"bank","own",2,"unskilled resident",1,"0","1","good"
"75","<0",36,"existing paid","education",1977,"no known savings",">=7",4,"male single","none",3,"no known property",40,"stores","own",1,"high qualif/self emp/mgmt",1,"1","1","bad"
"76","<0",12,"critical/order existing credit","used car",1526,"<100",">=7",4,"male single","none",4,"no known property",66,"stores","for free",2,"high qualif/self emp/mgmt",1,"0","1","good"
"77","<0",42,"existing paid","radio/tv",3965,"<100","<1",3.93,"male single","none",3,"car",34,"stores","own",1,"skilled",1,"0","1","bad"
"78","0<=X<200",11,"delayed previously","radio/tv",4771,"<100","4<=X<7",2,"male single","none",3,"life insurance",51,"stores","own",1,"skilled",1,"0","1","good"
"79","no checking",54,"no credits/all paid","used car",9436,"no known savings","1<=X<4",2,"male single","none",2,"life insurance",39,"stores","own",1,"unskilled resident",2,"0","1","good"
"80","0<=X<200",30,"existing paid","furniture/equipment",3832,"<100","<1",2,"male mar/wid","none",1,"life insurance",22,"stores","own",1,"skilled",1,"0","1","good"
"81","no checking",24,"existing paid","radio/tv",5943,"no known savings","<1",1,"female div/dep/mar","none",1,"car",44,"stores","own",2,"skilled",1,"1","1","bad"
"82","no checking",15,"existing paid","radio/tv",1213,"500<=X<1000",">=7",4,"male single","none",3,"life insurance",47,"stores","own",1,"skilled",1,"1","1","good"
"83","no checking",18,"existing paid","business",1568,"100<=X<500","1<=X<4",3,"female div/dep/mar","none",4,"life insurance",24,"stores","rent",1,"unskilled resident",1,"0","1","good"
"84","<0",24,"existing paid","other",1755,"<100",">=7",4,"female div/dep/mar","guarantor",4,"real estate",58,"stores","own",1,"unskilled resident",1,"1","1","good"
"85","<0",10,"existing paid","radio/tv",2315,"<100",">=7",3,"male single","none",4,"real estate",52,"stores","own",1,"unskilled resident",1,"0","1","good"
"86","no checking",12,"critical/order existing credit","business",1412,"<100","1<=X<4",4,"female div/dep/mar","guarantor",2,"real estate",29,"stores","own",2,"high qualif/self emp/mgmt",1,"1","1","good"
"87","0<=X<200",18,"critical/order existing credit","furniture/equipment",1295,"<100","<1",4,"female div/dep/mar","none",1,"life insurance",27,"stores","own",2,"skilled",1,"0","1","good"
"88","0<=X<200",36,"existing paid","education",12612,"100<=X<500","1<=X<4",1,"male single","none",4,"no known property",47,"stores","for free",1,"skilled",2,"1","1","bad"
"89","<0",18,"existing paid","new car",2249,"100<=X<500","4<=X<7",4,"male single","none",3,"car",30,"stores","own",1,"high qualif/self emp/mgmt",2,"1","1","good"
"90","<0",12,"no credits/all paid","repairs",1108,"<100","4<=X<7",4,"male single","none",3,"real estate",28,"stores","own",2,"skilled",1,"0","1","bad"
"91","no checking",12,"critical/order existing credit","radio/tv",618,"<100",">=7",4,"male single","none",4,"real estate",56,"stores","own",1,"skilled",1,"0","1","good"
"92","<0",12,"critical/order existing credit","used car",1409,"<100",">=7",4,"male single","none",3,"real estate",54,"stores","own",1,"skilled",1,"0","1","good"
"93","no checking",12,"critical/order existing credit","radio/tv",797,"no known savings",">=7",4,"female div/dep/mar","none",3,"life insurance",33,"bank","own",1,"unskilled resident",2,"0","1","bad"
"94",">=200",24,"critical/order existing credit","furniture/equipment",3617,"no known savings",">=7",4,"male single","co applicant",4,"no known property",20,"stores","rent",2,"skilled",1,"0","1","good"
"95","0<=X<200",12,"existing paid","new car",1318,">=1000",">=7",4,"male single","none",4,"real estate",54,"stores","own",1,"skilled",1,"1","1","good"
"96","0<=X<200",54,"no credits/all paid","business",15945,"<100","<1",3,"male single","none",4,"no known property",58,"stores","rent",1,"skilled",1,"1","1","bad"
"97","no checking",12,"critical/order existing credit","education",2012,"no known savings","4<=X<7",4,"female div/dep/mar","none",2,"car",61,"stores","own",1,"skilled",1,"0","1","good"
"98","0<=X<200",18,"existing paid","business",2622,"100<=X<500","1<=X<4",4,"male single","none",4,"car",34,"stores","own",1,"skilled",1,"0","1","good"
"99","0<=X<200",36,"critical/order existing credit","radio/tv",2337,"<100",">=7",4,"male single","none",4,"real estate",36,"stores","own",1,"skilled",1,"0","1","good"
"100","0<=X<200",20,"delayed previously","used car",7057,"no known savings","4<=X<7",3,"male single","none",4,"life insurance",36,"bank","rent",2,"high qualif/self emp/mgmt",2,"1","1","good"
"101","no checking",24,"existing paid","new car",1469,"100<=X<500",">=7",4,"male mar/wid","none",4,"real estate",41,"stores","rent",1,"unskilled resident",1,"0","1","good"
"102","0<=X<200",36,"existing paid","radio/tv",2323,"<100","4<=X<7",4,"male single","none",4,"car",24,"stores","rent",1,"skilled",1,"0","1","good"
"103","no checking",6,"delayed previously","radio/tv",932,"<100","1<=X<4",3,"female div/dep/mar","none",2,"real estate",24,"stores","own",1,"skilled",1,"0","1","good"
"104","0<=X<200",9,"critical/order existing credit","furniture/equipment",1919,"<100","4<=X<7",4,"male single","none",3,"car",34,"stores","rent",1,"skilled",1,"1","1","good"
"105","no checking",12,"existing paid","used car",2445,"no known savings","<1",2,"male mar/wid","none",4,"car",26,"stores","rent",1,"skilled",1,"1","1","good"
